ts_code,name,benchmark,index_code
159240.SZ,A500增强ETF天弘,中证A500指数收益率,000510.SH
159228.SZ,红利低波ETF长城,中证红利低波动100指数收益率,921345.CSI
588670.SH,科创综指增强ETF嘉实,上证科创板综合指数收益率,
588270.SH,科创200ETF易方达,上证科创板200指数收益率,
512130.SH,全指现金流ETF鹏华,中证全指自由现金流指数收益率,
159205.SZ,创业板ETF东财,创业板指数收益率,399006.SZ
159387.SZ,创业板新能源ETF国泰,创业板新能源指数收益率,
159238.SZ,沪深300增强ETF景顺,沪深300指数收益率,000300.SH
589580.SH,科创综指ETF兴银,上证科创板综合价格指数收益率,
159372.SZ,创业板50ETF万家,创业板50指数收益率,399673.SZ
588710.SH,科创半导体设备ETF华泰柏瑞,上证科创板半导体材料设备主题指数收益率,
520940.SH,港股通恒生ETF华安,恒指港股通指数收益率(经汇率调整),
159210.SZ,港股通汽车ETF汇添富,中证港股通汽车产业主题指数收益率(经估值汇率调整后),931239.CSI
561750.SH,A50ETF博时,中证A50指数收益率,
159389.SZ,数字经济ETF嘉实,中证诚通国企数字经济指数收益率,
159230.SZ,通用航空ETF华夏,国证通用航空产业指数收益率,931855.CSI
563760.SH,全指现金流ETF中银,中证全指自由现金流指数收益率,
159241.SZ,航空航天ETF天弘,国证航天航空行业指数收益率,
589700.SH,科创成长ETF南方,上证科创板成长指数收益率,
159233.SZ,自由现金流ETF平安,中证全指自由现金流指数收益率,
159385.SZ,数字经济ETF富国,中证诚通国企数字经济指数收益率,
588940.SH,科创50ETF富国,上证科创板50成份指数收益率,
561220.SH,数字经济ETF工银,中证诚通国企数字经济指数收益率,
159226.SZ,中证A500增强ETF国泰,中证A500指数收益率,000510.SH
159239.SZ,港股通汽车ETF富国,恒生港股通汽车主题指数收益率(使用估值汇率折算),931239.CSI
588130.SH,科创医药ETF华夏,上证科创板生物医药指数收益率,
563830.SH,全指现金流ETF博时,中证全指自由现金流指数收益率,
159218.SZ,卫星ETF招商,中证卫星产业指数收益率,931594.CSI
563770.SH,全指现金流ETF招商,中证全指自由现金流指数收益率,
563550.SH,A500增强ETF摩根,中证A500指数收益率,000510.SH
563060.SH,央企50ETF易方达,中证国资央企50指数收益率,931823.CSI
159229.SZ,自由现金流ETF广发,中证800自由现金流指数收益率,
563780.SH,现金流全指ETF方正富邦,中证全指自由现金流指数收益率,
159392.SZ,航空ETF富国,国证通用航空产业指数收益率,931855.CSI
159236.SZ,自由现金流ETF工银,中证全指自由现金流指数收益率,
563680.SH,800现金流ETF汇添富,中证800自由现金流指数收益率,
159227.SZ,航空航天ETF华夏,国证航天航空行业指数收益率,
159221.SZ,现金流ETF嘉实,国证自由现金流指数收益率,
159220.SZ,港股通红利低波ETF华宝,经人民币汇率调整的标普港股通低波红利指数收益率,
501227.SH,泓德红利优选LOF,中证红利指数收益率*90%+中国债券综合全价指数收益率*10%,000015.SH
561870.SH,现金流全指ETF华富,中证全指自由现金流指数收益率,
159208.SZ,航空航天ETF万家,国证航天航空行业指数收益率,
589980.SH,科创100ETF汇添富,上证科创板100指数收益率,
563900.SH,300自由现金流ETF摩根,沪深300自由现金流指数收益率,000300.SH
159219.SZ,深证100ETF融通,深证100指数收益率,399329.SZ
159232.SZ,自由现金流ETF南方,中证全指自由现金流指数收益率,
563390.SH,全指现金流ETF华泰柏瑞,中证全指自由现金流指数收益率,
159382.SZ,创业板人工智能ETF南方,创业板人工智能指数收益率,
159235.SZ,中证现金流ETF大成,中证全指自由现金流指数收益率,
561080.SH,全指现金流ETF华安,中证全指自由现金流指数收益率,
159213.SZ,机器人ETF汇添富,中证机器人指数收益率,
159231.SZ,通用航空ETF华宝,国证通用航空产业指数收益率,931855.CSI
516460.SH,现金流ETF800鹏华,中证800自由现金流指数收益率,
563990.SH,800现金流ETF富国,中证800自由现金流指数收益率,
510320.SH,沪深300ETF中金,沪深300指数收益率,000300.SH
563700.SH,红利价值ETF易方达,中证红利价值指数收益率,h20270.CSI
588850.SH,科创机械ETF嘉实,上证科创板工业机械指数收益率,
159225.SZ,现金流ETF银华,国证自由现金流指数收益率,
589300.SH,科创综指ETF嘉实,上证科创板综合指数收益率,
159222.SZ,自由现金流ETF易方达,国证自由现金流指数收益率,
562080.SH,300现金流ETF华宝,沪深300自由现金流指数收益率,000300.SH
159391.SZ,大盘价值ETF博时,国证大盘价值指数收益率,399373.SZ
512250.SH,A50ETF招商,中证A50指数收益率,
588040.SH,科创50ETF鹏华,上证科创板50成份指数收益率,
159366.SZ,港股医疗ETF永赢,中证港股通医疗主题指数收益率(按照估值汇率折算),932069.CSI
159211.SZ,深证100ETF富国,深证100指数收益率,399329.SZ
159202.SZ,恒生互联网ETF万家,恒生互联网科技业指数收益率(经估值汇率调整),
159377.SZ,创业板医药ETF国泰,创业板医药卫生指数收益率,
159216.SZ,深证100ETF大成,深证100指数收益率,399329.SZ
560820.SH,中证A50ETF新华,中证A50指数收益率,
159212.SZ,深100ETF南方,深证100指数收益率,399329.SZ
159207.SZ,高股息ETF广发,中证智选高股息策略指数收益率,932305.CSI
588720.SH,科创50ETF中银,上证科创板50成份指数收益率,
159217.SZ,港股通创新药ETF工银,经汇率调整后的国证港股通创新药指数收益率,
159388.SZ,创业板人工智能ETF国泰,创业板人工智能指数收益率,
589010.SH,科创人工智能ETF华夏,上证科创板人工智能指数收益率,
589100.SH,科创芯片ETF国泰,上证科创板芯片指数收益率,
159390.SZ,中证A50ETF国联,中证A50指数收益率,
512240.SH,A50ETF鹏华,中证A50指数收益率,
159215.SZ,A500ETF平安,中证A500指数收益率,000510.SH
563650.SH,中证A500ETF兴业,中证A500指数收益率,000510.SH
588170.SH,科创半导体ETF华夏,上证科创板半导体材料设备主题指数收益率,
563660.SH,A500ETF银河,中证A500指数收益率,000510.SH
588910.SH,科创价值ETF建信,上证智选科创板创新价值指数收益率,950228.SH
589060.SH,科创综指ETF东财,上证科创板综合价格指数收益率,
560630.SH,机器人ETF万家,中证机器人指数收益率,
159316.SZ,港股通创新药ETF易方达,恒生港股通创新药指数收益率(使用估值汇率折算),931250.CSI
159368.SZ,创业板新能源ETF华夏,创业板新能源指数收益率,
588770.SH,科创信息ETF摩根,上证科创板新一代信息技术指数收益率,
159381.SZ,创业板人工智能ETF华夏,创业板人工智能指数收益率,
588250.SH,科创医药ETF鹏华,上证科创板生物医药指数收益率,
159209.SZ,红利质量ETF招商,中证全指红利质量指数收益率,
159206.SZ,卫星ETF永赢,国证商用卫星通信产业指数收益率,
589520.SH,科创人工智能ETF华宝,上证科创板人工智能指数收益率,
562810.SH,上证指数增强ETF嘉实,上证综合指数收益率,000008.SH
589630.SH,科创综指ETF国泰,上证科创板综合指数收益率,
588660.SH,科创创业50ETF兴银,中证科创创业50指数收益率,931643.CSI
589600.SH,科创综指ETF富国,上证科创板综合价格指数收益率,
589860.SH,科创综指ETF天弘,上证科创板综合指数收益率,
589660.SH,科创综指ETF南方,上证科创板综合指数收益率,
589680.SH,科创综指ETF鹏华,上证科创板综合指数收益率,
513830.SH,港股通高股息ETF嘉实,经估值汇率调整后的中证港股通高股息投资指数收益率,
589080.SH,科创综指ETF汇添富,上证科创板综合指数收益率,
589890.SH,科创综指ETF景顺,上证科创板综合价格指数收益率,
589900.SH,科创综指ETF博时,上证科创板综合指数收益率,
589990.SH,科创综指ETF华泰柏瑞,上证科创板综合指数收益率,
588840.SH,科创50ETF万家,上证科创板50成份指数收益率,
589770.SH,科创综指ETF招商,上证科创板综合指数收益率,
589000.SH,科创综指ETF华夏,上证科创板综合指数收益率,
159393.SZ,沪深300ETF万家,沪深300指数收益率,000300.SH
589800.SH,科创综指ETF易方达,上证科创板综合指数收益率,
589500.SH,科创综指ETF工银,上证科创板综合价格指数收益率,
589880.SH,科创综指ETF建信,上证科创板综合指数收益率,
159399.SZ,现金流ETF国泰,富时中国A股自由现金流聚焦指数(FTSE China A Free Cash Flow Focus Index)收益率,
159201.SZ,自由现金流ETF华夏,国证自由现金流指数收益率,
588240.SH,科创200ETF鹏华,上证科创板200指数收益率,
588960.SH,科创新能源ETF富国,上证科创板新能源指数收益率,
159383.SZ,创业板50ETF华泰柏瑞,创业板50指数收益率,399673.SZ
159371.SZ,创业板50ETF富国,创业板50指数收益率,399673.SZ
159367.SZ,创业板50ETF华夏,创业板50指数收益率,399673.SZ
159386.SZ,A500ETF永赢,中证A500指数收益率,000510.SH
159373.SZ,创业板50ETF嘉实,创业板50指数收益率,399673.SZ
159336.SZ,央企红利ETF融通,中证诚通央企红利指数收益率,931132.CSI
560750.SH,A500ETF申万菱信,中证A500指数收益率,000510.SH
563860.SH,中证A500ETF海富通,中证A500指数收益率,000510.SH
159397.SZ,信用债ETF广发,同期深证基准做市信用债指数收益率,
159398.SZ,信用债ETF天弘,深证基准做市信用债指数收益率,
588870.SH,科创50ETF汇添富,上证科创板50成份指数收益率,
530800.SH,上证180ETF银华,上证180指数收益率,
159396.SZ,信用债ETF博时,深证基准做市信用债指数收益率,
511190.SH,信用债ETF海富通,上证基准做市公司债指数收益率,
511110.SH,公司债ETF易方达,上证基准做市公司债指数收益率,
520580.SH,新兴亚洲ETF招商,新交所新兴亚洲精选50指数,
563210.SH,专精特新ETF富国,恒生A股专精特新企业指数收益率,
588730.SH,科创人工智能ETF易方达,上证科创板人工智能指数收益率,
511200.SH,信用债ETF华夏,上证基准做市公司债指数收益率,
159395.SZ,信用债ETF大成,深证基准做市信用债指数收益率,
530280.SH,上证180ETF平安,上证180指数收益率,
520550.SH,港股红利低波ETF招商,恒生港股通高股息低波动指数收益率(经汇率调整后),930914.CSI
588950.SH,科创50ETF景顺,上证科创板50成份指数收益率,
588760.SH,科创人工智能ETF广发,上证科创板人工智能指数收益率,
561880.SH,A100ETF华富,中证A100指数收益率,000903.SH
512080.SH,A500ETF中金,中证A500指数收益率,000510.SH
511070.SH,公司债ETF南方,上证基准做市公司债指数收益率,
159370.SZ,创50ETF工银,创业板50指数收益率,399673.SZ
159379.SZ,A500ETF融通,中证A500指数收益率,000510.SH
530080.SH,上证180ETF天弘,上证180指数收益率,
588930.SH,科创人工智能ETF银华,上证科创板人工智能指数收益率,
159378.SZ,通用航空ETF永赢,国证通用航空产业指数收益率,931855.CSI
588790.SH,科创AIETF博时,上证科创板人工智能指数收益率,
159380.SZ,A500ETF东财,中证A500指数收益率,000510.SH
159323.SZ,港股通汽车ETF华夏,经估值汇率调整后的中证港股通汽车产业主题指数收益率,
159375.SZ,创业板50ETF国泰,创业板50指数收益率,399673.SZ
530580.SH,上证180ETF南方,上证180指数收益率,
530300.SH,上证180ETF华泰柏瑞,上证180指数收益率,
159376.SZ,A500ETF浦银,中证A500指数收益率,000510.SH
588810.SH,科创芯片ETF富国,上证科创板芯片指数收益率,
560190.SH,公用事业ETF鹏华,中证全指公用事业指数收益率,000995.SH
510040.SH,上证180ETF鹏华,上证180指数收益率,
530680.SH,上证180ETF兴业,上证180指数收益率,
588820.SH,科创200ETF华夏,上证科创板200指数收益率,
511160.SH,国债ETF东财,中证1-3年国债指数收益率,
520600.SH,港股通汽车ETF广发,中证港股通汽车产业主题指数收益率(使用估值汇率折算),931239.CSI
560380.SH,A100ETF南方,中证A100指数收益率,000903.SH
530180.SH,上证180ETF易方达,上证180指数收益率,
588750.SH,科创芯片ETF汇添富,上证科创板芯片指数收益率,
520500.SH,恒生创新药ETF华泰柏瑞,恒生创新药指数收益率(使用估值汇率折算),
588230.SH,科创200ETF华泰柏瑞,上证科创板200指数收益率,
159320.SZ,电网设备ETF广发,同期恒生A股电网设备指数收益率,
561380.SH,电网设备ETF国泰,恒生A股电网设备指数收益率,
588780.SH,科创芯片设计ETF国联安,上证科创板芯片设计主题指数,
159363.SZ,创业板人工智能ETF华宝,创业板人工智能指数收益率,
159355.SZ,800红利低波ETF华宝,中证800红利低波动指数收益率,931848.CSI
560810.SH,央企ESGETF融通,中证诚通央企ESG指数收益率,931243.CSI
159356.SZ,A500ETF万家,中证A500指数收益率,000510.SH
159358.SZ,中证A500ETF大成,中证A500指数,000510.SH
563500.SH,A500ETF华宝,中证A500指数收益率,000510.SH
512020.SH,A500ETF鹏华,中证A500指数收益率,000510.SH
159357.SZ,A500ETF博时,中证A500指数收益率,000510.SH
159360.SZ,A500ETF天弘,中证A500指数收益率,000510.SH
159362.SZ,A500ETF工银,中证A500指数收益率,000510.SH
159359.SZ,A500ETF华安,中证A500指数收益率,000510.SH
530050.SH,上证50ETF东财,上证50指数收益率,
563880.SH,A500ETF汇添富,中证A500指数收益率,000510.SH
159361.SZ,A500ETF易方达,中证A500指数收益率,000510.SH
563800.SH,A500ETF广发,中证A500指数收益率,000510.SH
512050.SH,A500ETF华夏,中证A500指数收益率,000510.SH
563520.SH,沪深300ETF永赢,沪深300指数收益率,000300.SH
159328.SZ,家电ETF易方达,中证家电龙头指数收益率,931021.CSI
588070.SH,科创成长ETF万家,上证科创板成长指数收益率,
159325.SZ,半导体ETF南方,中证半导体行业精选指数收益率,932066.CSI
562970.SH,光伏ETF易方达,中证光伏产业指数收益率,931151.CSI
530880.SH,红利国企ETF银河,上证国有企业红利指数收益率,
159590.SZ,软件ETF汇添富,中证全指软件指数收益率,h20202.CSI
159312.SZ,恒指港股通ETF广发,恒指港股通指数收益率(经估值汇率调整),
520520.SH,恒生消费ETF华泰柏瑞,恒生消费指数收益率(使用估值汇率折算),
513780.SH,港股创新药ETF景顺,中证港股通创新药指数收益率(使用估值汇率调整),931250.CSI
561570.SH,油气ETF华泰柏瑞,中证油气产业指数收益率,h20198.CSI
560510.SH,中证A500ETF泰康,中证A500指数收益率,000510.SH
560610.SH,A500ETF招商,中证A500指数收益率,000510.SH
159338.SZ,中证A500ETF国泰,中证A500指数收益率,000510.SH
159339.SZ,A500ETF银华,中证A500指数收益率,000510.SH
563220.SH,A500ETF富国,中证A500指数收益率,000510.SH
563360.SH,A500ETF华泰柏瑞,中证A500指数收益率,000510.SH
159352.SZ,A500ETF南方,中证A500指数,000510.SH
560530.SH,中证A500ETF摩根,中证A500指数收益率,000510.SH
159353.SZ,中证A500ETF景顺,中证A500指数收益率,000510.SH
159351.SZ,A500ETF嘉实,中证A500指数收益率,000510.SH
159305.SZ,储能电池ETF广发,国证新能源电池指数同期收益率,
520700.SH,港股通创新药ETF万家,中证港股通创新药指数收益率(经估值汇率调整),931250.CSI
560620.SH,公用事业ETF万家,中证全指公用事业指数收益率,000995.SH
561930.SH,沪深300ETF招商,沪深300指数收益率,000300.SH
530000.SH,上证50ETF天弘,上证50指数收益率,
520890.SH,港股通红利低波ETF华泰柏瑞,恒生港股通高股息低波动指数收益率(使用估值汇率折算),930914.CSI
159337.SZ,中证500ETF东财,中证500指数收益率,
159326.SZ,电网设备ETF华夏,中证电网设备主题指数收益率,931994.CSI
159302.SZ,港股高股息ETF银华,中证港股通高股息投资指数收益率(经估值汇率调整),930914.CSI
159335.SZ,央企科创ETF融通,中证诚通央企科技创新指数收益率,931132.CSI
159333.SZ,港股央企红利ETF万家,中证港股通央企红利指数收益率(经估值汇率调整),931233.CSI
159569.SZ,港股红利低波ETF景顺,国证港股通红利低波动率指数收益率(使用估值汇率折算),932596.CSI
159587.SZ,粮食ETF广发,国证粮食产业指数收益率,
588990.SH,科创芯片ETF博时,上证科创板芯片指数收益率,
588860.SH,科创医药ETF工银,上证科创板生物医药指数收益率,
159330.SZ,沪深300ETF东财,沪深300指数收益率,000300.SH
588830.SH,科创新能源ETF鹏华,上证科创板新能源指数收益率,
159327.SZ,半导体设备ETF万家,中证半导体材料设备主题指数收益率,950125.SH
159331.SZ,红利港股ETF国泰,中证港股通高股息投资指数收益率(经估值汇率调整),930914.CSI
159332.SZ,央企红利ETF富国,中证中央企业红利指数收益率,
159301.SZ,公用事业ETF华夏,中证全指公用事业指数收益率,000995.SH
159329.SZ,沙特ETF南方,经汇率调整后的标的富时沙特阿拉伯指数,
520830.SH,沙特ETF华泰柏瑞,富时沙特阿拉伯指数收益率(使用估值汇率折算),
159583.SZ,通信ETF富国,中证通信设备主题指数收益率,931271.CSI
588500.SH,科创100增强ETF易方达,上证科创板100指数收益率,
159800.SZ,中证800ETF鹏华,中证800指数收益率,
588680.SH,科创100增强ETF广发,上证科创板100指数收益率,
520990.SH,港股央企红利ETF景顺,中证国新港股通央企红利指数收益率(使用估值汇率折算),931722.CSI
520660.SH,港股通央企红利ETF南方,中证国新港股通央企红利指数(人民币中间价)收益率,931722.CSI
520900.SH,港股通红利ETF广发,中证国新港股通央企红利指数收益率(使用估值汇率折算),931722.CSI
159552.SZ,中证2000增强ETF招商,中证2000指数收益率,399303.SZ
159303.SZ,恒生医疗ETF大成,恒生医疗保健指数收益率,h20178.CSI
159318.SZ,恒指港股通ETF银华,恒指港股通指数收益率(经估值汇率调整),
560360.SH,软件ETF万家,中证软件服务指数收益率,
159558.SZ,半导体设备ETF易方达,中证半导体材料设备主题指数收益率,950125.SH
159322.SZ,黄金股ETF平安,中证沪深港黄金产业股票指数收益率,
159309.SZ,油气ETF汇添富,中证油气资源指数收益率,931248.CSI
159315.SZ,黄金股ETF工银,中证沪深港黄金产业股票指数收益率,
159578.SZ,深证主板50ETF南方,深证主板50指数收益率,399750.SZ
159542.SZ,工程机械ETF大成,中证工程机械主题指数收益率,931752.CSI
159533.SZ,中证2000ETF博时,中证2000指数收益率,399303.SZ
563090.SH,上证50增强ETF易方达,上证50指数收益率,
159588.SZ,石油ETF景顺,国证石油天然气指数收益率,
159300.SZ,沪深300ETF富国,沪深300指数收益率,000300.SH
563150.SH,油气ETF银华,中证油气资源指数收益率,931248.CSI
159321.SZ,黄金股ETF华安,中证沪深港黄金产业股票指数收益率,
159597.SZ,创业板成长ETF易方达,创业板成长指数收益率,
159557.SZ,恒生医疗ETF嘉实,经估值汇率调整后的恒生医疗保健指数收益率,
159525.SZ,红利低波ETF富国,中证红利低波动指数收益率,921345.CSI
159528.SZ,国企改革ETF富国,中证国有企业改革指数收益率,
562700.SH,汽车零部件ETF华夏,中证汽车零部件主题指数收益率,801093.SI
563180.SH,高股息ETF银华,中证高股息策略指数收益率,931053.CSI
588450.SH,科创50增强ETF招商,上证科创板50成份指数收益率,
510720.SH,红利国企ETF国泰,上证国有企业红利指数收益率,
159306.SZ,汽车零部件ETF平安,中证汽车零部件主题指数收益率,801093.SI
562340.SH,中证500成长ETF银华,中证500质量成长指数收益率*100%,930939.CSI
517400.SH,黄金股ETF国泰,中证沪深港黄金产业股票指数收益率,
513820.SH,港股通红利ETF汇添富,中证港股通高股息投资指数收益率(经估值汇率调整后),930914.CSI
510950.SH,上证50ETF广发,上证50指数收益率,
561760.SH,油气ETF博时,中证油气资源指数收益率,931248.CSI
562570.SH,信创ETF华夏,中证信息技术应用创新产业指数收益率,399170.SZ
159599.SZ,芯片ETF东财,中证芯片产业指数收益率,931729HKD00.CSI
159310.SZ,芯片ETF天弘,中证芯片产业指数收益率,931729HKD00.CSI
159526.SZ,机器人ETF嘉实,中证机器人指数收益率,
159307.SZ,红利低波100ETF博时,中证红利低波动100指数收益率,921345.CSI
588890.SH,科创芯片ETF南方,上证科创板芯片指数收益率,
562820.SH,集成电路ETF嘉实,中证全指集成电路指数收益率,
513210.SH,恒生ETF易方达,恒生指数收益率(使用估值汇率折算),
513170.SH,恒生央企ETF鹏华,恒生中国央企指数收益率(经汇率调整后),
159582.SZ,半导体ETF博时,中证半导体产业指数收益率,
560520.SH,红利低波100ETF大成,中证红利低波动100指数收益率,921345.CSI
159561.SZ,德国ETF嘉实,经估值汇率调整后的德国DAX指数收益率,
563280.SH,A50增强ETF富国,MSCI中国A50互联互通人民币指数收益率,133333.CSI
560850.SH,信创ETF汇添富,中证信息技术应用创新产业指数收益率,399170.SZ
560690.SH,电信ETF鹏华,中证电信主题指数收益率,
159545.SZ,恒生红利低波ETF易方达,恒生港股通高股息低波动指数收益率(使用估值汇率折算),930914.CSI
562560.SH,信息技术ETF华夏,中证全指信息技术指数收益率,000993.SH
159553.SZ,中证2000增强ETF海富通,中证2000指数收益率,399303.SZ
511130.SH,30年国债ETF博时,上证30年期国债指数收益率,
562580.SH,可选消费ETF华夏,中证全指可选消费指数收益率,000989.SH
560150.SH,红利低波ETF泰康,中证红利低波动指数收益率,921345.CSI
159589.SZ,红利ETF广发,中证红利指数收益率,000015.SH
562890.SH,A50ETF嘉实,中证A50指数收益率,
159596.SZ,A50ETF华宝,中证A50指数收益率,
159586.SZ,计算机ETF南方,中证全指计算机指数收益率,
159591.SZ,A50ETF富国,中证A50指数收益率,
563080.SH,中证A50ETF易方达,中证A50指数收益率,
159592.SZ,A50ETF银华,中证A50指数收益率,
563350.SH,A50ETF华泰柏瑞,中证A50指数收益率,
159581.SZ,红利ETF万家,中证红利指数收益率,000015.SH
159595.SZ,中证A50ETF大成,中证A50指数收益率,
561230.SH,中证A50ETF工银,中证A50指数收益率,
560350.SH,中证A50ETF摩根,中证A50指数收益率,
159593.SZ,中证A50ETF平安,中证A50指数收益率,
159568.SZ,港股互联网ETF博时,中证港股通互联网指数收益率(经汇率调整后),931637.CSI
159565.SZ,汽车零部件ETF易方达,中证汽车零部件主题指数收益率,801093.SI
513910.SH,港股通央企红利ETF华夏,中证港股通央企红利指数收益率(经估值汇率调整),931233.CSI
159577.SZ,美国50ETF汇添富,经人民币汇率调整的MSCI美国50指数收益率,
159563.SZ,创业板综ETF华夏,创业板综合指数收益率,399102.SZ
159566.SZ,储能电池ETF易方达,国证新能源电池指数收益率,
159547.SZ,红利低波ETF华夏,中证红利低波动指数收益率,921345.CSI
159529.SZ,标普消费ETF景顺,标普500消费精选指数收益率(使用估值汇率调整),
159527.SZ,云计算ETF广发,中证云计算与大数据主题指数收益率,
513400.SH,道琼斯ETF鹏华,道琼斯工业平均指数收益率(经汇率调整后),
159562.SZ,黄金股ETF华夏,中证沪深港黄金产业股票指数收益率,
159530.SZ,机器人ETF易方达,国证机器人产业指数收益率,
159567.SZ,港股创新药ETF银华,国证港股通创新药指数收益率(经估值汇率调整),931250.CSI
159570.SZ,港股通创新药ETF汇添富,国证港股通创新药指数收益率(经估值汇率调整后),931250.CSI
159556.SZ,中证2000增强ETF平安,中证2000指数收益率,399303.SZ
588700.SH,科创医药ETF嘉实,上证科创板生物医药指数收益率,
159502.SZ,标普生物科技ETF嘉实,经估值汇率调整后的标普生物科技精选行业指数收益率,
561200.SH,中证A100ETF工银,中证A100指数收益率,000903.SH
159576.SZ,深证100ETF广发,深证100指数收益率,399329.SZ
513920.SH,港股通央企红利ETF华安,恒生港股通中国央企红利指数收益率(经汇率调整),930644.CSI
159571.SZ,创业板200ETF富国,创业板中盘200指数收益率,
159575.SZ,创业板200ETF银华,创业板中盘200指数收益率,
159572.SZ,创业板200ETF易方达,创业板中盘200指数收益率,
159573.SZ,创业板200ETF华夏,创业板中盘200指数收益率,
511100.SH,国债ETF华夏,上证基准做市国债指数收益率,
588900.SH,科创100ETF南方,上证科创板100指数收益率,
562060.SH,标普A股红利ETF华宝,标普中国A股红利机会指数收益率,
563020.SH,红利低波ETF易方达,中证红利低波动指数收益率,921345.CSI
560300.SH,电信ETF汇添富,中证电信主题指数收益率,
560780.SH,半导体设备ETF广发,中证半导体材料设备主题指数收益率,950125.SH
159555.SZ,中证2000增强ETF银华,中证2000指数收益率,399303.SZ
159559.SZ,机器人ETF景顺,国证机器人产业指数收益率,
159350.SZ,深证50ETF富国,深证50指数收益率,
159150.SZ,深证50ETF易方达,深证50指数收益率,
159505.SZ,国证2000ETF博时,国证2000指数收益率,399303.SZ
159661.SZ,A100ETF嘉实,中证A100指数收益率,000903.SH
562600.SH,医疗器械ETF华夏,中证全指医疗器械指数收益率,931940.CSI
513630.SH,港股低波红利ETF摩根,标普港股通低波红利指数收益率,
159549.SZ,红利低波ETF天弘,中证红利低波动100指数收益率,921345.CSI
510980.SH,上证指数ETF汇添富,上证综合指数收益率,000008.SH
561010.SH,软件ETF华安,中证全指软件开发指数收益率,h20202.CSI
513350.SH,标普油气ETF富国,标普石油天然气勘探及生产精选行业指数收益率(经汇率调整后),
513730.SH,东南亚科技ETF华泰柏瑞,新交所泛东南亚科技指数收益率(使用估值汇率折算),
513750.SH,港股通非银ETF广发,中证港股通非银行金融主题指数收益率,931024.CSI
159543.SZ,国证2000ETF工银,国证2000指数收益率,399303.SZ
159560.SZ,芯片ETF景顺,中证芯片产业指数收益率,931729HKD00.CSI
588210.SH,科创100ETF易方达,上证科创板100指数收益率,
588800.SH,科创100ETF华夏,上证科创板100指数收益率,
588880.SH,科创100ETF华泰柏瑞,上证科创板100指数收益率,
159551.SZ,机器人ETF国泰,中证机器人指数收益率,
